"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C6,C9","4","10uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C2,C12,C13,C14","4","47uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3,C7","2","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C8","2","22uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C10,C11","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D2,D3,D4","3","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"F1","1","Polyfuse","","","","Fuse:Fuse_1812_4532Metric","~"
"H1,H2,H3","3","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.1mm","~"
"J1,J2,J3,J4,J5","5","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"L2,L5","2","1uH","","","","Inductor_SMD:L_1206_3216Metric","~"
"L3","1","10uH","","","","Inductor_SMD:L_6.3x6.3_H3","~"
"L4","1","6.8uH","","","","Inductor_SMD:L_6.3x6.3_H3","~"
"Q1","1","Q_PMOS_GDS","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","~"
"R2","1","10m","","","","Resistor_SMD:R_2512_6332Metric","~"
"R3,R5","2","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","13.3k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","22.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7","1","2.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","470","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1,U5","2","TPS54302","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps54302.pdf"
"U2","1","INA219AxD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"U3","1","AP2112K-1.8","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
