"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C15","2","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C8,C10,C11,C14","5","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C9","2","10pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","RED","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","Conn_01x02","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J2,J5,J8,J11,J14,J15","6","Conn_01x04","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J3,J4,J6,J7,J9,J10,J12,J13","8","Conn_01x03","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J16","1","Conn_01x02_Pin","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J17,J18,J19,J20","4","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R1","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","60","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1","1","SW_SPDT","","","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","~"
"SW2","1","SW_Push","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","STM32G491RET6","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32g491re.pdf"
"U3","1","TCAN334G","","","","Package_TO_SOT_SMD:TSOT-23-8","http://www.ti.com/lit/ds/symlink/tcan337.pdf"
"Y1","1","48Mhz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
